"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2025","3,306.915","3,313.641","3,316.929","3,270.773","","-0.20%"
"02/05/2025","3,313.654","3,286.132","3,327.325","3,285.465","","0.82%"
"02/04/2025","3,286.820","3,255.061","3,287.683","3,249.149","","0.98%"
"02/03/2025","3,255.061","3,224.469","3,274.933","3,200.063","","1.12%"
"01/31/2025","3,219.076","3,223.923","3,248.300","3,205.964","","-0.15%"
"01/30/2025","3,223.862","3,178.557","3,230.190","3,174.932","","1.44%"
"01/29/2025","3,178.168","3,176.054","3,180.416","3,158.210","","0.06%"
"01/28/2025","3,176.213","3,152.699","3,177.693","3,144.887","","0.77%"
"01/27/2025","3,151.839","3,174.476","3,184.267","3,137.748","","-0.85%"
"01/24/2025","3,178.753","3,160.396","3,196.176","3,160.087","","0.58%"
"01/23/2025","3,160.440","3,157.679","3,162.028","3,134.548","","0.07%"
"01/22/2025","3,158.354","3,144.799","3,167.331","3,142.783","","0.43%"
"01/21/2025","3,144.676","3,100.471","3,145.202","3,089.699","","1.42%"
"01/20/2025","3,100.670","3,083.410","3,106.088","3,075.841","","0.66%"
"01/17/2025","3,080.485","3,103.595","3,106.090","3,076.572","","-0.72%"
"01/16/2025","3,102.839","3,073.981","3,103.637","3,069.208","","0.94%"
"01/15/2025","3,073.888","3,054.078","3,076.728","3,048.386","","0.70%"
"01/14/2025","3,052.382","3,044.494","3,058.142","3,035.374","","0.27%"
"01/13/2025","3,044.041","3,049.230","3,050.677","3,031.109","","-0.64%"
"01/10/2025","3,063.576","3,037.649","3,073.256","3,034.291","","0.85%"
"01/09/2025","3,037.720","3,026.897","3,042.313","3,018.351","","0.36%"
"01/08/2025","3,026.895","3,010.411","3,035.093","3,005.679","","0.54%"
"01/07/2025","3,010.783","2,994.611","3,027.495","2,991.550","","0.55%"
"01/06/2025","2,994.349","3,001.927","3,009.279","2,969.522","","-0.24%"
"01/03/2025","3,001.703","3,025.555","3,032.018","2,996.408","","-0.81%"
"01/02/2025","3,026.090","2,985.132","3,026.699","2,983.791","","1.40%"
"01/01/2025","2,984.377","2,986.238","2,986.883","2,982.507","","0.02%"
"12/31/2024","2,983.704","2,961.578","2,987.815","2,957.745","","0.77%"
"12/30/2024","2,961.023","2,972.704","2,981.210","2,950.089","","0.35%"
"12/27/2024","2,950.801","2,982.217","2,993.162","2,948.540","","-1.07%"
"12/26/2024","2,982.857","2,962.402","2,984.689","2,962.402","","0.73%"
"12/25/2024","2,961.168","2,953.452","2,965.798","2,941.943","","0.26%"
"12/24/2024","2,953.452","2,964.214","2,971.152","2,945.472","","-0.36%"
"12/23/2024","2,964.219","2,971.200","2,981.430","2,943.230","","-0.14%"
"12/20/2024","2,968.366","2,932.629","2,977.721","2,928.959","","1.25%"
"12/19/2024","2,931.585","2,917.114","2,961.315","2,917.054","","0.51%"
"12/18/2024","2,916.818","2,980.470","2,984.485","2,910.468","","-2.13%"
"12/17/2024","2,980.238","2,980.702","2,988.993","2,963.184","","-0.02%"
"12/16/2024","2,980.698","2,979.358","2,995.106","2,971.008","","0.12%"
"12/13/2024","2,977.166","3,011.466","3,025.964","2,973.677","","-1.18%"
"12/12/2024","3,012.629","3,048.836","3,056.281","2,999.500","","-1.20%"
"12/11/2024","3,049.227","3,021.547","3,050.434","2,999.478","","0.91%"
"12/10/2024","3,021.640","2,979.129","3,023.842","2,974.114","","1.41%"
"12/09/2024","2,979.534","2,952.219","2,995.950","2,940.515","","1.27%"
"12/06/2024","2,942.141","2,943.667","2,959.505","2,923.122","","-0.08%"
"12/05/2024","2,944.466","2,959.948","2,967.457","2,927.110","","-0.54%"
"12/04/2024","2,960.537","2,953.205","2,968.198","2,943.371","","0.25%"
"12/03/2024","2,953.185","2,952.509","2,965.337","2,942.741","","0.03%"
"12/02/2024","2,952.173","2,953.694","2,959.262","2,926.628","","-0.28%"
"11/29/2024","2,960.506","2,941.479","2,974.089","2,937.716","","0.65%"
"11/28/2024","2,941.416","2,937.097","2,949.216","2,920.495","","0.15%"
"11/27/2024","2,937.040","2,933.604","2,961.795","2,927.413","","0.16%"
"11/26/2024","2,932.286","2,906.756","2,942.212","2,904.365","","0.93%"
